date,department,vendor,approved_by_employee,invoice_id,transaction_amount,payment_method,monthly_revenue_recorded,payroll_amount,fraud_pattern_label
2023-04-09,Finance,Gamma Logistics,EMP103,INV3315,9348,Cash,28571,10454,None
2025-01-16,Operations,Alpha Supplies,EMP102,INV3596,11019,Bank Transfer,38197,6251,None
2023-10-16,Operations,Alpha Supplies,EMP105,INV2748,7450,Bank Transfer,51807,4911,None
2024-08-15,Operations,Delta Services,EMP104,INV3059,17733,Cash,32513,3696,None
2023-05-18,Finance,Beta Traders,EMP103,INV3001,14000,Card,26180,7058,Duplicate Invoice
2025-05-04,IT,Delta Services,EMP103,INV2393,47522,Cash,37867,6778,Large Cash Payment
2023-05-01,Finance,Delta Services,EMP102,INV3953,6216,Card,43875,4578,None
2025-02-22,Sales,Gamma Logistics,EMP104,INV3608,11573,Cash,23578,9520,None
2024-07-12,HR,Om Industrial,EMP101,INV3230,7846,Cash,32086,4638,None
2024-12-02,Sales,Alpha Supplies,EMP104,INV2608,1920,Card,40335,9298,None
2023-01-26,Marketing,Beta Traders,EMP104,INV3759,7192,Bank Transfer,54387,8640,None
2024-11-16,HR,Alpha Supplies,EMP105,INV3240,1936,Card,11035,5071,None
2023-09-17,IT,Gamma Logistics,EMP101,INV3081,9364,Card,27750,3673,None
2023-05-31,HR,Alpha Supplies,EMP106,INV2552,19604,Card,204937,5149,Revenue Inflation
2024-06-02,Finance,Alpha Supplies,EMP104,INV2829,1884,Card,42307,5228,None
2025-06-16,IT,Beta Traders,EMP105,INV2174,9220,Cash,17553,6919,None
2024-06-08,Marketing,Beta Traders,EMP105,INV2188,1043,Bank Transfer,25160,8382,None
2024-05-04,HR,Delta Services,EMP107,INV3553,7412,Card,29767,9684,None
2024-04-19,Marketing,Zenith Corp,EMP104,INV3137,11774,Bank Transfer,31897,6423,None
2025-01-11,Operations,Rapid Parts,EMP106,INV3596,17542,Card,47926,11453,None
2024-08-25,Finance,Alpha Supplies,EMP104,INV2109,19262,Cash,31605,5113,None
2024-02-05,Operations,Beta Traders,EMP104,INV3001,14000,Cash,38875,4480,Duplicate Invoice
2024-01-11,Finance,Alpha Supplies,EMP102,INV3789,5458,Bank Transfer,56514,3841,None
2023-08-29,Marketing,Zenith Corp,EMP106,INV3690,8850,Cash,39119,10694,None
2023-04-28,HR,Gamma Logistics,EMP105,INV3873,15548,Card,13965,5377,None
2024-08-16,Finance,Delta Services,EMP107,INV3425,3766,Bank Transfer,37586,3128,None
2024-08-24,Operations,Beta Traders,EMP104,INV3829,19273,Bank Transfer,15917,8320,None
2023-12-05,Operations,Rapid Parts,EMP101,INV2226,1120,Card,36897,7102,None
2024-04-03,Finance,Alpha Supplies,EMP103,INV3768,6107,Bank Transfer,45114,8015,None
2024-08-22,IT,Rapid Parts,EMP103,INV2600,5612,Card,55953,7292,None
2023-05-15,Operations,Beta Traders,EMP106,INV3676,13446,Bank Transfer,36463,7996,None
2023-02-19,HR,Delta Services,EMP107,INV3876,6277,Cash,31857,11607,None
2024-01-04,IT,Rapid Parts,EMP107,INV3223,17757,Card,19003,6389,None
2023-01-03,HR,Rapid Parts,EMP106,INV2141,6609,Cash,15991,7258,None
2023-10-26,Operations,Zenith Corp,EMP103,INV3429,2283,Card,47529,4859,None
2025-04-21,IT,Rapid Parts,EMP105,INV3001,8434,Bank Transfer,59371,11917,None
2025-05-18,IT,Zenith Corp,EMP101,INV3602,12179,Card,56480,7867,None
2024-10-20,Operations,Rapid Parts,EMP106,INV2558,9482,Cash,25341,4421,None
2024-03-22,Marketing,Gamma Logistics,EMP103,INV3772,5893,Card,43465,11456,None
2023-02-01,Finance,Beta Traders,EMP999,INV2278,16109,Card,48025,11604,Ghost Employee
2025-05-06,Finance,Beta Traders,EMP101,INV2263,6517,Bank Transfer,29290,7986,None
2023-06-11,HR,Zenith Corp,EMP104,INV3349,18277,Bank Transfer,30919,7837,None
2023-11-07,Finance,Delta Services,EMP102,INV2491,18591,Cash,34236,9615,None
2023-04-07,Finance,Zenith Corp,EMP107,INV3777,19260,Card,47185,4926,None
2024-02-22,Sales,Alpha Supplies,EMP105,INV3445,6401,Bank Transfer,27039,9905,None
2024-01-16,HR,Gamma Logistics,EMP103,INV2943,15470,Bank Transfer,32264,3716,None
2023-02-26,HR,Gamma Logistics,EMP106,INV3400,13728,Card,59812,8834,None
2023-03-14,Operations,Delta Services,EMP103,INV3420,3275,Card,53049,6196,Vendor Kickback
2024-07-21,IT,Om Industrial,EMP102,INV2184,18144,Card,26330,5184,None
2025-04-06,Sales,Zenith Corp,EMP106,INV2461,2194,Bank Transfer,57402,3174,None
2025-02-27,Finance,Beta Traders,EMP102,INV3001,14000,Card,28209,10846,Duplicate Invoice
2024-07-26,IT,Rapid Parts,EMP107,INV2893,12422,Bank Transfer,54869,5069,None
2023-12-06,HR,Rapid Parts,EMP101,INV3130,16536,Card,10587,5438,None
2023-01-29,Sales,Rapid Parts,EMP104,INV2156,15868,Bank Transfer,47352,4449,None
2024-03-31,Finance,Om Industrial,EMP107,INV2631,19507,Cash,49502,11688,None
2024-03-17,Sales,Alpha Supplies,EMP104,INV3458,11823,Card,45537,5066,None
2023-08-15,Operations,Beta Traders,EMP102,INV3001,14000,Bank Transfer,13702,7692,Duplicate Invoice
2024-02-03,Operations,Om Industrial,EMP106,INV3411,19306,Card,40874,5783,None
2024-09-23,HR,Gamma Logistics,EMP102,INV3748,1404,Card,21517,11001,None
2023-12-03,Operations,Alpha Supplies,EMP105,INV3224,13193,Cash,32154,4840,None
2023-01-24,Sales,Om Industrial,EMP107,INV3501,18290,Cash,24400,8141,None
2023-12-06,Sales,Gamma Logistics,EMP105,INV2540,17976,Bank Transfer,14776,8908,None
2023-09-20,Sales,Zenith Corp,EMP107,INV3001,61161,Cash,26683,7838,Large Cash Payment
2023-04-08,Sales,Om Industrial,EMP103,INV2713,8848,Card,19409,4606,None
2024-04-05,Marketing,Zenith Corp,EMP102,INV3656,17949,Card,43982,7504,None
2023-09-14,Finance,Delta Services,EMP105,INV2173,7025,Card,45558,3403,None
2024-03-25,IT,Gamma Logistics,EMP102,INV3001,14000,Cash,22618,10029,Duplicate Invoice
2025-04-06,HR,Om Industrial,EMP107,INV3001,14000,Card,59430,3085,Duplicate Invoice
2023-09-27,Finance,Beta Traders,EMP102,INV2428,15283,Bank Transfer,51906,4229,None
2023-04-26,Operations,Gamma Logistics,EMP104,INV3628,5819,Cash,40866,9591,None
2024-10-04,Finance,Alpha Supplies,EMP104,INV2150,3944,Cash,53898,6939,None
2024-04-28,Marketing,Delta Services,EMP106,INV3016,14371,Card,40384,6048,None
2023-06-13,Marketing,Gamma Logistics,EMP103,INV2507,8259,Card,55243,10303,None
2024-07-05,Marketing,Rapid Parts,EMP107,INV2707,7963,Bank Transfer,14276,8424,None
2025-06-19,Sales,Delta Services,EMP103,INV3187,2837,Cash,44164,3599,Vendor Kickback
2025-05-26,Operations,Gamma Logistics,EMP104,INV3330,12224,Bank Transfer,45512,6157,None
2023-11-25,Finance,Rapid Parts,EMP107,INV3364,1696,Bank Transfer,10900,7899,None
2024-02-04,IT,Om Industrial,EMP107,INV2729,14865,Card,51604,3271,None
2025-04-30,HR,Zenith Corp,EMP999,INV2640,15717,Card,44868,9594,Ghost Employee
2024-03-28,Sales,Zenith Corp,EMP107,INV3754,14180,Card,57566,4828,None
2023-10-03,Sales,Alpha Supplies,EMP999,INV3957,17412,Card,35934,13251,Ghost Employee
2024-02-29,Finance,Rapid Parts,EMP107,INV3084,5918,Card,15379,3130,None
2024-02-05,Operations,Zenith Corp,EMP101,INV3024,4697,Cash,23054,11128,None
2025-02-01,Marketing,Delta Services,EMP106,INV3737,1845,Cash,58313,8551,None
2023-04-19,Sales,Delta Services,EMP103,INV3769,33203,Cash,57930,4434,Large Cash Payment
2023-08-21,IT,Om Industrial,EMP105,INV2550,8334,Cash,19736,8659,None
2024-06-05,Operations,Delta Services,EMP101,INV2465,18197,Bank Transfer,29763,10893,None
2025-03-15,HR,Om Industrial,EMP103,INV3622,18266,Bank Transfer,14817,5075,None
2023-01-21,Marketing,Beta Traders,EMP104,INV2530,18266,Bank Transfer,35046,8990,None
2025-05-26,IT,Gamma Logistics,EMP999,INV3001,14000,Cash,19629,10911,Ghost Employee
2023-03-24,HR,Delta Services,EMP999,INV3825,16365,Bank Transfer,18007,10509,Ghost Employee
2024-09-25,Marketing,Om Industrial,EMP106,INV3001,14000,Card,53115,4127,Duplicate Invoice
2023-03-19,Marketing,Zenith Corp,EMP101,INV2237,11846,Cash,46934,6281,None
2023-09-24,Sales,Delta Services,EMP105,INV2478,14145,Card,35016,7146,None
2025-06-03,HR,Gamma Logistics,EMP102,INV3074,5155,Card,42349,6436,None
2023-03-20,HR,Delta Services,EMP103,INV2448,3374,Cash,48769,4044,Vendor Kickback
2025-02-11,Operations,Alpha Supplies,EMP101,INV2862,19808,Bank Transfer,32286,11677,None
2025-05-09,HR,Rapid Parts,EMP102,INV3987,1969,Card,59807,7901,None
2024-03-17,Marketing,Zenith Corp,EMP104,INV3002,2861,Card,37063,9994,None
2025-03-30,HR,Rapid Parts,EMP103,INV3425,16737,Card,39298,3705,None
2025-05-04,Sales,Gamma Logistics,EMP103,INV2153,16359,Cash,21251,4156,None
2024-09-25,Sales,Beta Traders,EMP104,INV2176,18830,Card,28434,9007,None
2024-09-11,Sales,Zenith Corp,EMP107,INV3978,4847,Bank Transfer,34175,6377,None
2024-08-21,Sales,Om Industrial,EMP105,INV3217,19922,Card,31915,6863,None
2024-08-01,Operations,Alpha Supplies,EMP106,INV3316,14147,Cash,28588,11028,None
2024-05-11,IT,Gamma Logistics,EMP102,INV2236,18444,Card,40744,6446,None
2024-12-30,Sales,Gamma Logistics,EMP107,INV2731,3792,Bank Transfer,24705,11064,None
2023-06-04,Sales,Delta Services,EMP102,INV3175,7100,Bank Transfer,49462,11148,None
2023-09-27,HR,Rapid Parts,EMP106,INV3737,17177,Bank Transfer,16964,7657,None
2023-06-18,Marketing,Beta Traders,EMP106,INV3872,17282,Card,18761,10540,None
2023-11-13,Sales,Gamma Logistics,EMP107,INV2141,15698,Cash,35466,6774,None
2023-09-10,IT,Om Industrial,EMP102,INV2643,3930,Bank Transfer,31223,10476,None
2024-02-17,Finance,Alpha Supplies,EMP107,INV2133,3612,Cash,37757,4360,None
2023-11-28,Sales,Alpha Supplies,EMP106,INV2726,17568,Cash,56973,4603,None
2025-02-03,Operations,Delta Services,EMP107,INV3415,11234,Bank Transfer,17887,4408,None
2024-07-23,Operations,Alpha Supplies,EMP999,INV3958,15989,Bank Transfer,49256,10098,Ghost Employee
2024-10-01,HR,Zenith Corp,EMP107,INV2158,820,Bank Transfer,27181,5875,None
2023-12-11,Finance,Beta Traders,EMP105,INV3242,6444,Bank Transfer,50223,6202,None
2023-07-02,Sales,Rapid Parts,EMP101,INV2591,4000,Card,57982,7110,None
2024-08-17,Finance,Beta Traders,EMP101,INV2754,2395,Cash,40383,10119,None
2023-11-26,Sales,Om Industrial,EMP104,INV2041,5427,Card,27109,11316,None
2024-10-06,Sales,Alpha Supplies,EMP103,INV3044,4784,Cash,44900,3476,None
2023-05-20,HR,Delta Services,EMP103,INV2633,8626,Cash,48442,4166,Vendor Kickback
2024-03-28,Operations,Gamma Logistics,EMP106,INV2747,12887,Bank Transfer,15844,6761,None
2023-09-20,Operations,Zenith Corp,EMP101,INV3001,19268,Card,196111,10943,Revenue Inflation
2024-04-20,IT,Alpha Supplies,EMP104,INV2724,11041,Bank Transfer,15660,6240,None
2025-02-19,IT,Beta Traders,EMP101,INV3435,12737,Bank Transfer,49109,9241,None
2024-06-16,Finance,Zenith Corp,EMP101,INV2706,1947,Bank Transfer,54473,5038,None
2025-06-04,Sales,Rapid Parts,EMP107,INV3966,15686,Cash,32375,9751,None
2024-07-24,Finance,Zenith Corp,EMP107,INV3245,3946,Cash,21907,8370,None
2025-05-20,Marketing,Rapid Parts,EMP102,INV3610,2975,Bank Transfer,34813,11895,None
2023-06-27,Finance,Zenith Corp,EMP107,INV3008,5188,Card,31394,11854,None
2024-03-06,Finance,Gamma Logistics,EMP106,INV2323,5752,Bank Transfer,41718,7856,None
2023-03-02,HR,Gamma Logistics,EMP107,INV2175,3981,Cash,41865,4555,None
2024-03-14,HR,Delta Services,EMP107,INV3195,17598,Bank Transfer,14811,5998,None
2024-08-04,HR,Zenith Corp,EMP105,INV2263,16637,Cash,46189,9291,None
2023-03-15,Marketing,Rapid Parts,EMP103,INV2579,8435,Cash,17460,10187,None
2024-07-09,Marketing,Zenith Corp,EMP107,INV2841,875,Cash,33697,9051,None
2024-06-06,Sales,Delta Services,EMP101,INV3405,2873,Cash,45040,5396,None
2023-01-24,Operations,Om Industrial,EMP106,INV2415,17357,Cash,16479,4709,None
2024-01-08,Sales,Gamma Logistics,EMP107,INV2140,8519,Card,35489,6496,None
2024-01-09,Marketing,Om Industrial,EMP103,INV3326,18744,Bank Transfer,42256,4217,None
2023-01-15,HR,Beta Traders,EMP105,INV2652,2516,Bank Transfer,58416,11418,None
2025-03-20,HR,Beta Traders,EMP103,INV2956,18441,Bank Transfer,32175,5922,None
2024-05-07,Sales,Om Industrial,EMP101,INV2671,15670,Bank Transfer,47910,4265,None
2024-06-29,IT,Beta Traders,EMP106,INV3677,15578,Card,52851,7543,None
2024-06-02,IT,Alpha Supplies,EMP107,INV2120,1912,Cash,19012,9683,None
2024-05-29,IT,Delta Services,EMP101,INV2669,14206,Cash,44127,9592,None
2023-12-26,Operations,Beta Traders,EMP106,INV3385,11868,Bank Transfer,21893,8969,None
2024-06-30,HR,Alpha Supplies,EMP103,INV3301,13988,Cash,29104,8410,None
2024-03-07,Sales,Alpha Supplies,EMP103,INV2715,5307,Cash,50168,6011,None
2023-09-09,IT,Zenith Corp,EMP102,INV3547,19453,Bank Transfer,15494,7117,None
2024-11-03,HR,Om Industrial,EMP104,INV2974,12444,Bank Transfer,17665,9118,None
2024-01-18,Finance,Gamma Logistics,EMP103,INV2429,1182,Cash,14228,5106,None
2023-06-20,Sales,Zenith Corp,EMP104,INV3998,6789,Bank Transfer,28786,9140,None
2023-05-30,IT,Rapid Parts,EMP105,INV2249,7131,Cash,38091,7604,None
2025-04-30,HR,Alpha Supplies,EMP102,INV3576,18683,Bank Transfer,13717,8335,None
2023-07-28,Finance,Delta Services,EMP102,INV3643,6854,Cash,25214,3795,None
2024-01-03,IT,Alpha Supplies,EMP105,INV3441,13317,Cash,37546,3611,None
2023-02-15,HR,Gamma Logistics,EMP999,INV3001,14000,Cash,45402,9178,Ghost Employee
2025-05-03,HR,Beta Traders,EMP102,INV3148,4190,Card,44218,10142,None
2023-02-13,IT,Beta Traders,EMP107,INV2249,7603,Bank Transfer,14923,9653,None
2024-02-04,Finance,Rapid Parts,EMP104,INV3946,14484,Bank Transfer,40716,7839,None
2025-02-20,Marketing,Om Industrial,EMP105,INV3859,16670,Cash,17685,4021,None
2025-04-01,IT,Delta Services,EMP103,INV3340,55455,Cash,50709,11840,Large Cash Payment
2023-05-11,Finance,Alpha Supplies,EMP999,INV2274,3526,Bank Transfer,59397,11949,Ghost Employee
2025-01-21,Finance,Om Industrial,EMP101,INV2382,15639,Cash,22054,9747,None
2024-07-10,Operations,Delta Services,EMP103,INV3079,3525,Bank Transfer,59425,11834,None
2025-04-06,Marketing,Beta Traders,EMP104,INV2423,6618,Cash,50022,8497,None
2024-02-06,IT,Alpha Supplies,EMP104,INV2891,16327,Bank Transfer,33706,10707,None
2023-12-23,Finance,Gamma Logistics,EMP107,INV2423,5939,Cash,16016,4047,None
2023-10-06,Marketing,Om Industrial,EMP103,INV2385,10539,Card,46615,10283,None
2024-10-25,Finance,Om Industrial,EMP101,INV3126,10640,Cash,49795,5969,None
2024-06-26,Operations,Delta Services,EMP101,INV3146,17243,Cash,44609,3345,None
2024-11-14,IT,Beta Traders,EMP102,INV3001,14000,Bank Transfer,46715,9008,Duplicate Invoice
2025-02-19,Marketing,Alpha Supplies,EMP102,INV3427,730,Cash,23934,5030,None
2024-05-19,Sales,Zenith Corp,EMP105,INV3878,16704,Bank Transfer,25394,4063,None
2023-08-14,Operations,Rapid Parts,EMP102,INV2664,1293,Card,34176,4111,None
2024-06-03,Marketing,Gamma Logistics,EMP106,INV3213,13805,Card,19184,7291,None
2025-04-14,HR,Om Industrial,EMP103,INV2013,11279,Bank Transfer,43713,10814,None
2023-09-23,Operations,Om Industrial,EMP106,INV2330,7255,Cash,40554,6794,None
2024-07-21,HR,Zenith Corp,EMP101,INV3440,4188,Card,42448,11501,None
2024-04-01,IT,Alpha Supplies,EMP102,INV2540,10473,Bank Transfer,36157,4820,None
2025-04-01,Marketing,Om Industrial,EMP106,INV3847,13427,Cash,47568,8306,None
2024-07-05,IT,Beta Traders,EMP103,INV3428,11632,Bank Transfer,55125,7519,None
2024-03-30,Marketing,Gamma Logistics,EMP104,INV2125,77351,Cash,28707,4270,Large Cash Payment
2023-05-11,IT,Gamma Logistics,EMP105,INV2922,42340,Cash,32662,11921,Large Cash Payment
2025-04-07,HR,Beta Traders,EMP105,INV3543,6784,Card,44534,8210,None
