id,question,answer,category
966,"What is the company policy on medical fitness for managerial employees in our recruitment framework, scenario #9718?",Roles requiring medical fitness clearance must complete the process within 11 days of offer acceptance.,Recruitment
967,"What is the company policy on data deletion for sales employees in the it & security framework, scenario #582?",Data deletion requests involving employee records must follow approved retention schedules and authorization steps.,IT & Security
968,"What is the company policy on meal benefit for support employees in the benefits framework, scenario #6893?",Eligible employees receive meal benefit support of up to ₹15000 per month.,Benefits
969,"What is the company policy on password reset for full-time employees in our it & security framework, scenario #3734?",Passwords must be changed at least once every 13 days or earlier if compromise is suspected.,IT & Security
970,"What is the company policy on joining extension for engineering employees in the recruitment framework, scenario #5968?",Joining date extensions up to 13 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
971,"What is the company policy on document submission for full-time employees in the recruitment framework, scenario #1634?",New hires must submit all joining documents within 7 working days of the start date.,Recruitment
972,"What is the company policy on late coming for full-time employees in the attendance framework, scenario #5164?",Employees arriving more than 15 minutes late on 9 occasions in a month may receive attendance counseling.,Attendance
973,"What is the company policy on parental insurance for contract employees in our benefits framework, scenario #1819?",Parents may be added to insurance by paying the applicable premium during the enrollment window in February.,Benefits
974,"What is the company policy on performance improvement for sales employees in our performance management framework, scenario #9748?",A performance improvement plan usually runs for 28 days with defined review checkpoints.,Performance Management
975,"What is the company policy on password reset for full-time employees in the it & security framework, scenario #4546?",Passwords must be changed at least once every 30 days or earlier if compromise is suspected.,IT & Security
976,"What is the company policy on rating appeal for sales employees in the performance management framework, scenario #6125?",Rating appeal requests must be submitted within 2 working days of receiving the appraisal outcome.,Performance Management
977,"What is the company policy on knowledge transfer for support employees in our separation framework, scenario #7197?",Knowledge transfer plan must be completed at least 11 working days before exit for critical roles.,Separation
978,"What is the company policy on dress code for sales employees in our code of conduct framework, scenario #6177?",Employees are expected to follow formal dress standards on regular office days.,Code of Conduct
979,"What is the company policy on location approval for engineering employees in our remote work framework, scenario #8803?",Employees must obtain approval before working remotely from a location outside their registered city for more than 11 days.,Remote Work
980,"What is the company policy on accident cover for contract employees in the benefits framework, scenario #5836?",Accident insurance cover of ₹2000 is provided for employees on company rolls.,Benefits
981,"What is the company policy on salary payment for sales employees in our compensation framework, scenario #5481?",Monthly salary is credited on the 21st working day of each month.,Compensation
982,"What is the company policy on substance policy for managerial employees in the code of conduct framework, scenario #139?",Reporting to work under the influence of prohibited substances may lead to disciplinary action.,Code of Conduct
983,"What is the company policy on canteen subsidy for contract employees in the workplace & facilities framework, scenario #9024?",Eligible employees receive canteen subsidy of ₹15000 per working day.,Workplace & Facilities
984,"What is the company policy on casual leave for contract employees in the leave policy framework, scenario #1837?",Casual leave entitlement is 7 days per year and should normally be applied for at least 7 working day(s) in advance.,Leave Policy
985,"What is the company policy on incident reporting for probationary employees in the it & security framework, scenario #7844?",Suspected security incidents must be reported within 7 hour(s) of discovery.,IT & Security
986,"What is the company policy on data deletion for support employees in our it & security framework, scenario #2663?",Data deletion requests involving employee records must follow approved retention schedules and authorization steps.,IT & Security
987,"What is the company policy on annual leave for sales employees in the leave policy framework, scenario #8600?",Annual leave entitlement is 6 days per calendar year for sales employees.,Leave Policy
988,"What is the company policy on parking policy for intern employees in the workplace & facilities framework, scenario #2150?",Limited parking slots are allotted on a priority basis and may require monthly renewal by the 3rd.,Workplace & Facilities
989,"What is the company policy on remote travel for probationary employees in our remote work framework, scenario #3229?",Remote work while on personal travel is permitted for up to 16 working days per quarter with manager approval.,Remote Work
990,"What is the company policy on annual leave for managerial employees in our leave policy framework, scenario #1213?",Annual leave entitlement is 12 days per calendar year for managerial employees.,Leave Policy
991,"What is the company policy on dress code for intern employees in the code of conduct framework, scenario #3327?",Employees are expected to follow business casual dress standards on regular office days.,Code of Conduct
992,"What is the company policy on night shift for engineering employees in our attendance framework, scenario #5926?",Night shift is defined as work performed between 7:00 PM and 7:00 PM.,Attendance
993,"What is the company policy on paternity leave for full-time employees in our leave policy framework, scenario #2741?",Eligible employees may take 19 working days of paternity leave within 5 days of childbirth or adoption.,Leave Policy
994,"What is the company policy on social media for support employees in our code of conduct framework, scenario #2479?",Employees must not disclose confidential company information on social media at any time.,Code of Conduct
995,"What is the company policy on attendance correction for managerial employees in the attendance framework, scenario #2196?",Attendance correction requests must be submitted within 28 calendar days of the missed punch.,Attendance
996,"What is the company policy on access card for full-time employees in our workplace & facilities framework, scenario #6647?",Lost access cards must be reported within 15 hour(s) and replacement charges may apply.,Workplace & Facilities
997,"What is the company policy on bereavement leave for support employees in our leave policy framework, scenario #4438?",Employees may take 24 working days of bereavement leave for immediate family members.,Leave Policy
998,"What is the company policy on rehire policy for probationary employees in our recruitment framework, scenario #5020?","Former employees may be considered for rehire after a cooling period of 30 months, subject to records review.",Recruitment
999,"What is the company policy on vpn usage for contract employees in our it & security framework, scenario #2240?",Remote access to internal systems must use the company VPN for all sessions involving restricted data.,IT & Security
1000,"What is the company policy on expense reimbursement for contract employees in our compensation framework, scenario #3498?",Approved expense claims must be submitted within 25 days of the expense date.,Compensation
1001,"What is the company policy on desk allocation for managerial employees in the workplace & facilities framework, scenario #6036?",Desk allocation is managed by Facilities and may change based on seating plans and team movement.,Workplace & Facilities
1002,"What is the company policy on ergonomic support for engineering employees in the workplace & facilities framework, scenario #1843?",Employees may request ergonomic equipment through Facilities subject to role need and stock.,Workplace & Facilities
1003,"What is the company policy on social media for support employees in our code of conduct framework, scenario #3086?",Employees must not disclose confidential company information on social media at any time.,Code of Conduct
1004,"What is the company policy on travel allowance for full-time employees in our compensation framework, scenario #2920?",Domestic business travel provides a daily allowance of ₹5000 for meals and local transport.,Compensation
1005,"What is the company policy on canteen subsidy for managerial employees in our workplace & facilities framework, scenario #2695?",Eligible employees receive canteen subsidy of ₹2000 per working day.,Workplace & Facilities
1006,"What is the company policy on maternity leave for engineering employees in our leave policy framework, scenario #5772?",Eligible employees may take 4 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
1007,"What is the company policy on asset return for contract employees in our separation framework, scenario #3695?",All company assets must be returned by the last working day or within 30 days if specifically approved.,Separation
1008,"What is the company policy on remote availability for engineering employees in the remote work framework, scenario #8285?",Employees working remotely must be reachable between 8:00 AM and 6:00 AM on official communication channels.,Remote Work
1009,"What is the company policy on remote availability for managerial employees in our remote work framework, scenario #8752?",Employees working remotely must be reachable between 8:30 AM and 5:30 PM on official communication channels.,Remote Work
1010,"What is the company policy on education support for sales employees in our benefits framework, scenario #2523?",Job-related certification reimbursement is capped at ₹10000 per year after manager approval.,Benefits
1011,"What is the company policy on reward nomination for contract employees in the performance management framework, scenario #7845?",Spot award nominations should be submitted within 22 days of the recognized contribution.,Performance Management
1012,"What is the company policy on salary revision for full-time employees in our compensation framework, scenario #2000?",Salary revisions are normally effective from September based on performance and business conditions.,Compensation
1013,"What is the company policy on leave balance payout for probationary employees in the separation framework, scenario #5142?",Eligible unused leave payout is calculated according to policy and applicable payroll rules.,Separation
1014,"What is the company policy on access card for engineering employees in our workplace & facilities framework, scenario #7017?",Lost access cards must be reported within 26 hour(s) and replacement charges may apply.,Workplace & Facilities
1015,"What is the company policy on medical insurance for support employees in our benefits framework, scenario #2765?",Medical insurance cover of ₹1000 is provided to eligible employees under the group policy.,Benefits
1016,"What is the company policy on document submission for managerial employees in our recruitment framework, scenario #8716?",New hires must submit all joining documents within 22 working days of the start date.,Recruitment
1017,"What is the company policy on travel insurance for intern employees in the travel policy framework, scenario #7543?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
1018,"What is the company policy on attendance impact for support employees in our performance management framework, scenario #3087?",Unresolved attendance issues over 17 instances in a quarter may affect performance discussions.,Performance Management
1019,"What is the company policy on comp-off for intern employees in our leave policy framework, scenario #9225?",Compensatory off earned for approved extra work must be used within 22 days of accrual.,Leave Policy
1020,"What is the company policy on rehire restriction for full-time employees in our separation framework, scenario #9718?",Employees separated for misconduct may not be eligible for rehire under company policy.,Separation
1021,"What is the company policy on dress code for support employees in the code of conduct framework, scenario #7705?",Employees are expected to follow formal dress standards on regular office days.,Code of Conduct
1022,"What is the company policy on salary payment for support employees in the compensation framework, scenario #6078?",Monthly salary is credited on the 19th working day of each month.,Compensation
1023,"What is the company policy on travel insurance for engineering employees in our travel policy framework, scenario #8594?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
1024,"What is the company policy on weekend stay for support employees in our travel policy framework, scenario #1196?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
1025,"What is the company policy on employee assistance for intern employees in the benefits framework, scenario #3679?",The employee assistance program provides up to 4 confidential counseling sessions per year.,Benefits
1026,"What is the company policy on unpaid leave for managerial employees in the leave policy framework, scenario #7844?",Unpaid leave beyond regular entitlement may be granted for up to 11 working days with management approval.,Leave Policy
1027,"What is the company policy on leave encashment for intern employees in our leave policy framework, scenario #9285?",Employees may encash up to 11 unused leave days at year-end if approved by HR and Finance.,Leave Policy
1028,"What is the company policy on joining extension for intern employees in our recruitment framework, scenario #3119?",Joining date extensions up to 13 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
1029,"What is the company policy on attendance impact for support employees in the performance management framework, scenario #1188?",Unresolved attendance issues over 11 instances in a quarter may affect performance discussions.,Performance Management
1030,"What is the company policy on phone reimbursement for sales employees in our compensation framework, scenario #6662?",Eligible roles may claim mobile reimbursement up to ₹750 per month.,Compensation
1031,"What is the company policy on salary revision for managerial employees in the compensation framework, scenario #1470?",Salary revisions are normally effective from November based on performance and business conditions.,Compensation
1032,"What is the company policy on rehire restriction for sales employees in our separation framework, scenario #6917?",Employees separated for misconduct may not be eligible for rehire under company policy.,Separation
1033,"What is the company policy on intern conversion for contract employees in the recruitment framework, scenario #3532?",Intern-to-full-time conversion is evaluated during the final 6 weeks of internship.,Recruitment
1034,"What is the company policy on salary payment for sales employees in our compensation framework, scenario #9989?",Monthly salary is credited on the 8th working day of each month.,Compensation
1035,"What is the company policy on per diem for full-time employees in our travel policy framework, scenario #2796?",Per diem for approved travel to category-3 locations is ₹3000 per day.,Travel Policy
1036,"What is the company policy on salary payment for contract employees in our compensation framework, scenario #854?",Monthly salary is credited on the 7th working day of each month.,Compensation
1037,"What is the company policy on review frequency for managerial employees in our performance management framework, scenario #8874?",Performance reviews are conducted quarterly and documented in the HR system.,Performance Management
1038,"What is the company policy on phone reimbursement for managerial employees in our compensation framework, scenario #6459?",Eligible roles may claim mobile reimbursement up to ₹1500 per month.,Compensation
1039,"What is the company policy on email retention for contract employees in the it & security framework, scenario #8699?",Official email records are retained for approximately 23 months in line with policy.,IT & Security
1040,"What is the company policy on asset misuse for support employees in the code of conduct framework, scenario #9630?",Misuse of company property may result in recovery of costs and disciplinary action.,Code of Conduct
1041,"What is the company policy on travel advance for engineering employees in the travel policy framework, scenario #2680?",Travel advance requests must be raised at least 9 working days before the trip.,Travel Policy
1042,"What is the company policy on bereavement leave for probationary employees in the leave policy framework, scenario #4750?",Employees may take 28 working days of bereavement leave for immediate family members.,Leave Policy
1043,"What is the company policy on retirement plan for managerial employees in the benefits framework, scenario #5132?",The company contributes 5% of basic salary toward eligible retirement benefits where applicable.,Benefits
1044,"What is the company policy on travel allowance for support employees in the compensation framework, scenario #2622?",Domestic business travel provides a daily allowance of ₹2000 for meals and local transport.,Compensation
1045,"What is the company policy on attendance impact for support employees in the performance management framework, scenario #1169?",Unresolved attendance issues over 5 instances in a quarter may affect performance discussions.,Performance Management
1046,"What is the company policy on manager feedback for engineering employees in the performance management framework, scenario #701?",Managers are expected to provide formal feedback at least 7 time(s) per quarter.,Performance Management
1047,"What is the company policy on rehire policy for full-time employees in the recruitment framework, scenario #1053?","Former employees may be considered for rehire after a cooling period of 3 months, subject to records review.",Recruitment
1048,"What is the company policy on buyout policy for probationary employees in our separation framework, scenario #139?",Notice buyout may be allowed for up to 6 days subject to management approval.,Separation
1049,"What is the company policy on biometric use for full-time employees in the attendance framework, scenario #5140?",Biometric attendance is mandatory for all on-site employees except those specifically exempted by HR for up to 4 days.,Attendance
1050,"What is the company policy on screen lock for support employees in the it & security framework, scenario #7146?",Devices must auto-lock after 25 minutes of inactivity.,IT & Security
1051,"What is the company policy on internet reimbursement for sales employees in the remote work framework, scenario #7718?",Remote employees may claim internet reimbursement of up to ₹2000 per month.,Remote Work
1052,"What is the company policy on travel insurance for probationary employees in the travel policy framework, scenario #1023?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
1053,"What is the company policy on bereavement leave for engineering employees in the leave policy framework, scenario #5821?",Employees may take 30 working days of bereavement leave for immediate family members.,Leave Policy
1054,"What is the company policy on data classification for full-time employees in our it & security framework, scenario #3340?",Documents classified as Restricted may only be shared with authorized recipients.,IT & Security
1055,"What is the company policy on travel allowance for engineering employees in the compensation framework, scenario #2541?",Domestic business travel provides a daily allowance of ₹1000 for meals and local transport.,Compensation
1056,"What is the company policy on leave balance payout for contract employees in our separation framework, scenario #1557?",Eligible unused leave payout is calculated according to policy and applicable payroll rules.,Separation
1057,"What is the company policy on resignation notice for contract employees in the separation framework, scenario #5773?",Notice period for contract employees is 14 days unless the contract states otherwise.,Separation
1058,"What is the company policy on visa expense for sales employees in our travel policy framework, scenario #9417?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
1059,"What is the company policy on short breaks for contract employees in our attendance framework, scenario #4393?","Employees may take up to 11 short breaks per day, each not exceeding 8 minutes.",Attendance
1060,"What is the company policy on rehire restriction for sales employees in our separation framework, scenario #8160?",Employees separated for misconduct may not be eligible for rehire under company policy.,Separation
1061,"What is the company policy on festival gift for sales employees in the benefits framework, scenario #6532?",A festival gift voucher of ₹7500 may be provided in July subject to company policy.,Benefits
1062,"What is the company policy on clean desk for sales employees in the workplace & facilities framework, scenario #6529?",Employees must clear sensitive papers from desks before leaving for the day.,Workplace & Facilities
1063,"What is the company policy on remote travel for full-time employees in the remote work framework, scenario #5405?",Remote work while on personal travel is permitted for up to 2 working days per quarter with manager approval.,Remote Work
1064,"What is the company policy on dress code for managerial employees in the code of conduct framework, scenario #3488?",Employees are expected to follow business casual dress standards on regular office days.,Code of Conduct
1065,"What is the company policy on bereavement leave for engineering employees in our leave policy framework, scenario #7354?",Employees may take 24 working days of bereavement leave for immediate family members.,Leave Policy
1066,"What is the company policy on domestic travel for probationary employees in the travel policy framework, scenario #4447?",Domestic travel should normally be booked at least 17 days in advance unless there is a business emergency.,Travel Policy
1067,"What is the company policy on retirement plan for managerial employees in the benefits framework, scenario #5302?",The company contributes 8% of basic salary toward eligible retirement benefits where applicable.,Benefits
1068,"What is the company policy on attendance impact for engineering employees in our performance management framework, scenario #482?",Unresolved attendance issues over 20 instances in a quarter may affect performance discussions.,Performance Management
1069,"What is the company policy on childcare support for sales employees in the benefits framework, scenario #8014?",Eligible employees may claim childcare support up to ₹20000 per month for children up to age 10.,Benefits
1070,"What is the company policy on short breaks for probationary employees in the attendance framework, scenario #7591?","Employees may take up to 10 short breaks per day, each not exceeding 6 minutes.",Attendance
1071,"What is the company policy on gifts policy for intern employees in the code of conduct framework, scenario #5123?",Employees may not accept gifts above ₹500000 without written approval.,Code of Conduct
1072,"What is the company policy on night shift for engineering employees in our attendance framework, scenario #7441?",Night shift is defined as work performed between 8:30 AM and 6:00 AM.,Attendance
1073,"What is the company policy on retirement plan for intern employees in our benefits framework, scenario #3268?",The company contributes 5% of basic salary toward eligible retirement benefits where applicable.,Benefits
1074,"What is the company policy on retirement plan for engineering employees in the benefits framework, scenario #3927?",The company contributes 8% of basic salary toward eligible retirement benefits where applicable.,Benefits
1075,"What is the company policy on leave balance payout for full-time employees in our separation framework, scenario #3014?",Eligible unused leave payout is calculated according to policy and applicable payroll rules.,Separation
1076,"What is the company policy on goal setting for sales employees in our performance management framework, scenario #6961?",Employees must finalize annual goals within 11 days of the performance cycle start.,Performance Management
1077,"What is the company policy on rehire restriction for managerial employees in our separation framework, scenario #6162?",Employees separated for misconduct may not be eligible for rehire under company policy.,Separation
1078,"What is the company policy on garden leave for full-time employees in the separation framework, scenario #1560?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
1079,"What is the company policy on parking policy for sales employees in the workplace & facilities framework, scenario #9193?",Limited parking slots are allotted on a priority basis and may require monthly renewal by the 18th.,Workplace & Facilities
1080,"What is the company policy on training link for contract employees in our performance management framework, scenario #1343?",Completion of mandatory learning may influence performance compliance if overdue by more than 11 days.,Performance Management
1081,"What is the company policy on harassment reporting for sales employees in the code of conduct framework, scenario #3566?",Workplace harassment concerns should be reported within 30 days to HR or the designated committee.,Code of Conduct
1082,"What is the company policy on resignation notice for support employees in the separation framework, scenario #7296?",Notice period for support employees is 7 days unless the contract states otherwise.,Separation
1083,"What is the company policy on whistleblower for support employees in the code of conduct framework, scenario #2074?",Whistleblower complaints may be made confidentially through the approved reporting channels.,Code of Conduct
1084,"What is the company policy on garden leave for intern employees in our separation framework, scenario #693?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
1085,"What is the company policy on domestic travel for probationary employees in our travel policy framework, scenario #8699?",Domestic travel should normally be booked at least 23 days in advance unless there is a business emergency.,Travel Policy
1086,"What is the company policy on social media for probationary employees in our code of conduct framework, scenario #8922?",Employees must not disclose confidential company information on social media at any time.,Code of Conduct
1087,"What is the company policy on manager feedback for intern employees in our performance management framework, scenario #4033?",Managers are expected to provide formal feedback at least 3 time(s) per quarter.,Performance Management
1088,"What is the company policy on medical fitness for intern employees in the recruitment framework, scenario #4834?",Roles requiring medical fitness clearance must complete the process within 2 days of offer acceptance.,Recruitment
1089,"What is the company policy on camera policy for probationary employees in our remote work framework, scenario #2039?",Video must be enabled during designated collaboration meetings unless connectivity is unstable for more than 3 minutes.,Remote Work
1090,"What is the company policy on maternity leave for contract employees in our leave policy framework, scenario #4247?",Eligible employees may take 22 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
1091,"What is the company policy on full and final settlement for intern employees in the separation framework, scenario #2837?",Full and final settlement is generally processed within 15 days after separation documentation is complete.,Separation
1092,"What is the company policy on mfa requirement for sales employees in the it & security framework, scenario #6961?",Multi-factor authentication is mandatory for access to all critical systems.,IT & Security
1093,"What is the company policy on mfa requirement for full-time employees in the it & security framework, scenario #3835?",Multi-factor authentication is mandatory for access to all critical systems.,IT & Security
1094,"What is the company policy on overtime pay for sales employees in our compensation framework, scenario #2184?",Eligible employees receive overtime at 2.0x the hourly rate for approved extra hours.,Compensation
1095,"What is the company policy on promotion review for probationary employees in the performance management framework, scenario #323?","Promotion nominations are reviewed in May based on performance, readiness, and budget.",Performance Management
1096,"What is the company policy on leave encashment for intern employees in the leave policy framework, scenario #2367?",Employees may encash up to 23 unused leave days at year-end if approved by HR and Finance.,Leave Policy
1097,"What is the company policy on remote check-in for managerial employees in the remote work framework, scenario #3040?",Remote employees must attend a team check-in at 4:00 PM on every Friday.,Remote Work
1098,"What is the company policy on medical insurance for support employees in our benefits framework, scenario #3525?",Medical insurance cover of ₹2500 is provided to eligible employees under the group policy.,Benefits
1099,"What is the company policy on leave encashment for managerial employees in our leave policy framework, scenario #3221?",Employees may encash up to 1 unused leave days at year-end if approved by HR and Finance.,Leave Policy
1100,"What is the company policy on probation length for managerial employees in our recruitment framework, scenario #3543?",Standard probation period is 19 months unless otherwise stated in the appointment letter.,Recruitment
1101,"What is the company policy on travel insurance for managerial employees in our travel policy framework, scenario #2336?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
1102,"What is the company policy on home office for sales employees in our remote work framework, scenario #882?",The company reimburses up to ₹10000 once every 1 months for approved home-office items.,Remote Work
1103,"What is the company policy on remote availability for contract employees in the remote work framework, scenario #279?",Employees working remotely must be reachable between 6:00 PM and 5:30 PM on official communication channels.,Remote Work
1104,"What is the company policy on local travel for contract employees in the travel policy framework, scenario #7629?",Local travel claims must be submitted within 10 days and supported by receipts where required.,Travel Policy
1105,"What is the company policy on local travel for contract employees in the travel policy framework, scenario #5238?",Local travel claims must be submitted within 24 days and supported by receipts where required.,Travel Policy
1106,"What is the company policy on data deletion for support employees in the it & security framework, scenario #8196?",Data deletion requests involving employee records must follow approved retention schedules and authorization steps.,IT & Security
1107,"What is the company policy on email retention for intern employees in the it & security framework, scenario #825?",Official email records are retained for approximately 10 months in line with policy.,IT & Security
1108,"What is the company policy on medical fitness for support employees in the recruitment framework, scenario #3671?",Roles requiring medical fitness clearance must complete the process within 24 days of offer acceptance.,Recruitment
1109,"What is the company policy on weekend stay for contract employees in the travel policy framework, scenario #3411?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
1110,"What is the company policy on salary payment for support employees in the compensation framework, scenario #4131?",Monthly salary is credited on the 2nd working day of each month.,Compensation
1111,"What is the company policy on night shift for probationary employees in our attendance framework, scenario #146?",Night shift is defined as work performed between 7:00 PM and 5:30 PM.,Attendance
1112,"What is the company policy on screen lock for support employees in our it & security framework, scenario #1946?",Devices must auto-lock after 10 minutes of inactivity.,IT & Security
1113,"What is the company policy on core hours for probationary employees in the attendance framework, scenario #3099?",Employees on flexible schedules must be available during core hours from 6:00 PM to 5:00 PM.,Attendance
1114,"What is the company policy on full and final settlement for engineering employees in our separation framework, scenario #9536?",Full and final settlement is generally processed within 26 days after separation documentation is complete.,Separation
1115,"What is the company policy on access card for contract employees in the workplace & facilities framework, scenario #3646?",Lost access cards must be reported within 28 hour(s) and replacement charges may apply.,Workplace & Facilities
1116,"What is the company policy on software installation for support employees in our it & security framework, scenario #3157?","Only approved software may be installed, and requests should be raised through IT at least 20 day(s) in advance.",IT & Security
1117,"What is the company policy on joining extension for full-time employees in the recruitment framework, scenario #5364?",Joining date extensions up to 6 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
1118,"What is the company policy on attendance impact for full-time employees in the performance management framework, scenario #9201?",Unresolved attendance issues over 1 instances in a quarter may affect performance discussions.,Performance Management
1119,"What is the company policy on phone reimbursement for probationary employees in our compensation framework, scenario #189?",Eligible roles may claim mobile reimbursement up to ₹1000 per month.,Compensation
1120,"What is the company policy on respectful behavior for sales employees in our code of conduct framework, scenario #413?","Abusive or threatening conduct toward colleagues, customers, or vendors is prohibited.",Code of Conduct
1121,"What is the company policy on biometric use for engineering employees in our attendance framework, scenario #6715?",Biometric attendance is mandatory for all on-site employees except those specifically exempted by HR for up to 3 days.,Attendance
1122,"What is the company policy on data classification for contract employees in the it & security framework, scenario #2131?",Documents classified as Highly Sensitive may only be shared with authorized recipients.,IT & Security
1123,"What is the company policy on parental insurance for managerial employees in our benefits framework, scenario #1784?",Parents may be added to insurance by paying the applicable premium during the enrollment window in July.,Benefits
1124,"What is the company policy on email retention for contract employees in the it & security framework, scenario #2471?",Official email records are retained for approximately 17 months in line with policy.,IT & Security
1125,"What is the company policy on shift allowance for engineering employees in the attendance framework, scenario #1657?",Employees assigned to the morning shift receive a shift allowance of ₹25000 per shift.,Attendance
1126,"What is the company policy on knowledge transfer for probationary employees in the separation framework, scenario #1062?",Knowledge transfer plan must be completed at least 16 working days before exit for critical roles.,Separation
1127,"What is the company policy on mfa requirement for full-time employees in our it & security framework, scenario #3213?",Multi-factor authentication is mandatory for access to all critical systems.,IT & Security
1128,"What is the company policy on full and final settlement for full-time employees in the separation framework, scenario #958?",Full and final settlement is generally processed within 3 days after separation documentation is complete.,Separation
1129,"What is the company policy on bonus payout for managerial employees in our compensation framework, scenario #1621?","Annual performance bonus, where applicable, is paid in February after review completion.",Compensation
1130,"What is the company policy on travel insurance for full-time employees in our travel policy framework, scenario #155?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
1131,"What is the company policy on buyout policy for intern employees in our separation framework, scenario #2255?",Notice buyout may be allowed for up to 3 days subject to management approval.,Separation
1132,"What is the company policy on whistleblower for probationary employees in our code of conduct framework, scenario #7883?",Whistleblower complaints may be made confidentially through the approved reporting channels.,Code of Conduct
1133,"What is the company policy on conflict of interest for intern employees in our code of conduct framework, scenario #7628?",Potential conflicts of interest must be disclosed within 18 days of becoming known.,Code of Conduct
1134,"What is the company policy on password reset for sales employees in our it & security framework, scenario #7470?",Passwords must be changed at least once every 1 days or earlier if compromise is suspected.,IT & Security
1135,"What is the company policy on education support for managerial employees in the benefits framework, scenario #6662?",Job-related certification reimbursement is capped at ₹500 per year after manager approval.,Benefits
1136,"What is the company policy on accident cover for full-time employees in the benefits framework, scenario #9469?",Accident insurance cover of ₹500 is provided for employees on company rolls.,Benefits
1137,"What is the company policy on remote check-in for intern employees in our remote work framework, scenario #1168?",Remote employees must attend a team check-in at 4:00 PM on every Monday.,Remote Work
1138,"What is the company policy on candidate travel for sales employees in the recruitment framework, scenario #1942?",Interview travel reimbursement must be claimed within 24 days of the interview date.,Recruitment
1139,"What is the company policy on childcare support for support employees in our benefits framework, scenario #8073?",Eligible employees may claim childcare support up to ₹1500 per month for children up to age 14.,Benefits
1140,"What is the company policy on goal setting for managerial employees in the performance management framework, scenario #2516?",Employees must finalize annual goals within 5 days of the performance cycle start.,Performance Management
1141,"What is the company policy on retirement plan for support employees in our benefits framework, scenario #2008?",The company contributes 12% of basic salary toward eligible retirement benefits where applicable.,Benefits
1142,"What is the company policy on manager feedback for intern employees in the performance management framework, scenario #4944?",Managers are expected to provide formal feedback at least 26 time(s) per quarter.,Performance Management
1143,"What is the company policy on screen lock for full-time employees in the it & security framework, scenario #7352?",Devices must auto-lock after 23 minutes of inactivity.,IT & Security
1144,"What is the company policy on rehire policy for support employees in our recruitment framework, scenario #9892?","Former employees may be considered for rehire after a cooling period of 9 months, subject to records review.",Recruitment
1145,"What is the company policy on remote availability for managerial employees in the remote work framework, scenario #4256?",Employees working remotely must be reachable between 8:00 AM and 5:00 AM on official communication channels.,Remote Work
1146,"What is the company policy on bereavement leave for contract employees in our leave policy framework, scenario #6742?",Employees may take 26 working days of bereavement leave for immediate family members.,Leave Policy
1147,"What is the company policy on harassment reporting for managerial employees in the code of conduct framework, scenario #2965?",Workplace harassment concerns should be reported within 24 days to HR or the designated committee.,Code of Conduct
1148,"What is the company policy on social media for intern employees in our code of conduct framework, scenario #6979?",Employees must not disclose confidential company information on social media at any time.,Code of Conduct
1149,"What is the company policy on international travel for full-time employees in the travel policy framework, scenario #6141?",International travel requires approval from the function head at least 16 working days before departure.,Travel Policy
1150,"What is the company policy on home office for contract employees in our remote work framework, scenario #1269?",The company reimburses up to ₹500 once every 27 months for approved home-office items.,Remote Work
1151,"What is the company policy on carry forward for managerial employees in the leave policy framework, scenario #3027?","Up to 18 unused annual leave days may be carried forward, subject to manager approval by August.",Leave Policy
1152,"What is the company policy on candidate travel for intern employees in our recruitment framework, scenario #5327?",Interview travel reimbursement must be claimed within 6 days of the interview date.,Recruitment
1153,"What is the company policy on medical insurance for probationary employees in our benefits framework, scenario #3641?",Medical insurance cover of ₹500000 is provided to eligible employees under the group policy.,Benefits
1154,"What is the company policy on review frequency for contract employees in our performance management framework, scenario #9608?",Performance reviews are conducted quarterly and documented in the HR system.,Performance Management
1155,"What is the company policy on review frequency for support employees in the performance management framework, scenario #9749?",Performance reviews are conducted quarterly and documented in the HR system.,Performance Management
1156,"What is the company policy on casual leave for intern employees in the leave policy framework, scenario #108?",Casual leave entitlement is 6 days per year and should normally be applied for at least 2 working day(s) in advance.,Leave Policy
1157,"What is the company policy on remote availability for engineering employees in the remote work framework, scenario #3173?",Employees working remotely must be reachable between 6:00 PM and 7:00 PM on official communication channels.,Remote Work
1158,"What is the company policy on joining bonus for support employees in our compensation framework, scenario #1483?",Joining bonus recovery applies if the employee leaves within 29 months of joining.,Compensation
1159,"What is the company policy on coworking reimbursement for support employees in our remote work framework, scenario #9634?",The company reimburses up to ₹10000 per month for approved coworking space use in exceptional cases.,Remote Work
1160,"What is the company policy on promotion review for contract employees in the performance management framework, scenario #3754?","Promotion nominations are reviewed in July based on performance, readiness, and budget.",Performance Management
